codigoestacion,nombreestacion,departamento,municipio,fecha,valor_diario,unidadmedida
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-07,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-07,0.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-07,0.3,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-08,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-08,0.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-08,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-09,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-09,1.9,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-09,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-10,13.2,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-10,1.6,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-10,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-11,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-11,1.9,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-11,0.4,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-12,2.5,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-12,19.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-12,3.7,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-13,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-13,0.1,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-13,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-14,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-14,0.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-14,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-15,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-15,0.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-15,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-16,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-16,0.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-16,0.7,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2017-02-17,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-17,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-17,1.1,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-17,0.1,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-18,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-18,0.2,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-18,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-19,5.6,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-19,0.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-19,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2017-02-20,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-20,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-20,5.5,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-20,1.5,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-21,0.7,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-21,7.1,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-21,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2017-02-22,7.2,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-22,3.2,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-22,36.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-22,4.2,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-23,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-23,0.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-23,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2017-02-24,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-24,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-24,2.2,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-24,1.5,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2017-02-25,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-25,22.9,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-25,11.3,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-25,1.4,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2017-02-26,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-26,1.7,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-26,7.4,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-26,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2017-02-27,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-27,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-27,0.0,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-27,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2017-02-28,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-02-28,24.1,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-02-28,0.6,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-02-28,0.6,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2017-03-01,0.0,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-03-01,0.6,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-03-01,1.6,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-03-01,7.6,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2017-03-02,0.3,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-03-02,0.1,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-03-02,2.2,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-03-02,11.7,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2017-03-03,1.7,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-03-03,0.4,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-03-03,5.4,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-03-03,0.1,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2017-03-04,0.2,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-03-04,0.1,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-03-04,8.3,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-03-04,0.1,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2017-03-05,0.3,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-03-05,0.0,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-03-05,1.2,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-03-05,0.0,mm
0026125508,LACATALINA  - AUT,RISARALDA,PEREIRA,2017-03-06,0.5,mm
0026127040,CARTAGO,RISARALDA,PEREIRA,2017-03-06,0.1,mm
0026135300,PNN QUIMBAYA - AUT,RISARALDA,PEREIRA,2017-03-06,10.3,mm
0026135330,LA LAGUNA DEL OTUN  - AUT,RISARALDA,PEREIRA,2017-03-06,3.9,mm
